species,genus,family,species.relative,genus.relative


















































































































































































































































































































































































































































































































,NAME
,Podiceps
,Phalacrocorax
,Ardea
,Ardeola
,Bubulcus
,Butorides
,Egretta
,Egretta
,Egretta
,Gorsachius
,Gorsachius
,Ixobrychus
,Nycticorax
,Accipiter
,Accipiter
,Accipiter
,Accipiter
,Accipiter
,Aquila
,Aviceda
,Buteo
,Circus
,Ictinaetus
,Milvus
,Spilornis
,Spizaetus
,Falco
,Arborophila
,Francolinus
,Gallus
,Lophura
,Polyplectron
,Turnix
,Turnix
,Grus
,Amaurornis
,Gallinula
,Gallirallus
,Rostratula
,Charadrius
,Charadrius
,Capella
,Capella
,Capella
,Scolopax
,Tringa
,Tringa
,Tringa
,Tringa
,Himantopus
,Chalcophaps
,Culumba
,Ducula
,Ducula
,Macropygia
,Oenopopelia
,Streptopelia
,Streptopelia
,Treron
,Treron
,Psittacula
,Centropus
,Centropus
,Chalcites
,Cuculus
,Cuculus
,Eudynamys
,Phaenicophaeus
,Surniculus
,Phodilus
,Glaucidium
,Glaucidium
,Ketupa
,Otus
,Otus
,Strix
,Caprimulgus
,Caprimulgus
,Caprimulgus
,Apus
,Cypsiurus
,Hirundapus
,Harpactes
,Alcedo
,Ceryle
,Ceryle
,Ceyx
,Halcyon
,Halcyon
,Merops
,Nyctyornis
,Eurystomus
,Upupa
,Megalaima
,Blythipicus
,Dendrocopos
,Dendrocopos
,Micropternus
,Picus
,Picus
,Picus
,Serilophus
,Pitta
,Pitta
,Alauda
,Delichon
,Hirundo
,Hirundo
,Anthus
,Anthus
,Anthus
,Dendronanthus
,Motacilla
,Motacilla
,Motacilla
,Coracina
,Coracina
,Pericrocotus
,Pericrocotus
,Pericrocotus
,Tephrodornis
,Criniger
,Hypsipetes
,Hypsipetes
,Hypsipetes
,Pycnonotus
,Chloropsis
,Lanius
,Lanius
,Oriolus
,Oriolus
,Dicrurus
,Dicrurus
,Dicrurus
,Dicrurus
,Dicrurus
,Acridotheres
,Gracula
,Sturnus
,Sturnus
,Artamus
,Cissa
,Cissa
,Corvus
,Corvus
,Corvus
,Crypsirina
,Crypsirina
,Pica
,Cinclidium
,Copsychus
,Copsychus
,Enicurus
,Luscinia
,Luscinia
,Monticola
