genus,family
Camarhynchus,Thraupidae
Camaroptera,Cisticolidae
Campephaga,Campephagidae
Campephilus,Picidae
Campethera,Picidae
Campochaera,Campephagidae
Camptostoma,Tyrannidae
Campylopterus,Trochilidae
Campylorhamphus,Furnariidae
Campylorhynchus,Troglodytidae
Canirallus,Rallidae
Capito,Capitonidae
Caprimulgus,Caprimulgidae
Capsiempis,Tyrannidae
Caracara,Falconidae
Cardellina,Parulidae
Cardinalis,Cardinalidae
Carduelis,Fringillidae
Cariama,Cariamidae
Caridonax,Alcedinidae
Carpococcyx,Cuculidae
Carpodacus,Fringillidae
Carpodectes,Cotingidae
Carpornis,Cotingidae
Caryothraustes,Cardinalidae
Casiornis,Tyrannidae
Casmerodius,Ardeidae
Casuarius,Casuariidae
Catamblyrhynchus,Thraupidae
Catamenia,Thraupidae
Cataponera,Turdidae
Catharacta,Stercorariidae
Catharopeza,Parulidae
Cathartes,Cathartidae
Catharus,Turdidae
Catherpes,Troglodytidae
Catoptrophorus,Scolopacidae
Catreus,Phasianidae
Celeus,Picidae
Centrocercus,Phasianidae
Centropus,Cuculidae
Cephalopterus,Cotingidae
Cephalopyrus,Remizidae
Cepphus,Alcidae
Ceratogymna,Bucerotidae
Cercibis,Threskiornithidae
Cercococcyx,Cuculidae
Cercomacra,Thamnophilidae
Cercomela,Muscicapidae
Cercotrichas,Muscicapidae
Cereopsis,Anatidae
Cerorhinca,Alcidae
Certhia,Certhiidae
Certhiaxis,Furnariidae
Certhidea,Thraupidae
Certhilauda,Alaudidae
Certhionyx,Meliphagidae
Ceryle,Alcedinidae
Cettia,Cettiidae
Ceuthmochares,Cuculidae
Ceyx,Alcedinidae
Chaetocercus,Trochilidae
Chaetops,Chaetopidae
Chaetorhynchus,Dicruridae
Chaetornis,Locustellidae
Chaetura,Apodidae
Chaimarrornis,Muscicapidae
Chalcophaps,Columbidae
Chalcopsitta,Psittacidae
Chalcostigma,Trochilidae
Chalybura,Trochilidae
Chamaea,Sylviidae
Chamaepetes,Cracidae
Chamaeza,Formicariidae
Charadrius,Charadriidae
Charitospiza,Thraupidae
Charmosyna,Psittacidae
Chasiempis,Monarchidae
Chauna,Anhimidae
Chelictinia,Accipitridae
Chelidoptera,Bucconidae
Chelidorhynx,Stenostiridae
Chen,Anatidae
Chenonetta,Anatidae
Cheramoeca,Hirundinidae
Chersomanes,Alaudidae
Chersophilus,Alaudidae
Chionis,Chionidae
Chiroxiphia,Pipridae
Chlamydera,Ptilonorhynchidae
Chlamydochaera,Turdidae
Chlamydotis,Otididae
Chlidonias,Laridae
Chloephaga,Anatidae
Chlorestes,Trochilidae
Chloroceryle,Alcedinidae
Chlorocharis,Zosteropidae
Chlorochrysa,Thraupidae
Chlorocichla,Pycnonotidae
Chloropeta,Acrocephalidae
Chlorophanes,Thraupidae
Chlorophonia,Fringillidae
Chloropsis,Chloropseidae
Chlorornis,Thraupidae
Chlorospingus,Emberizidae
Chlorostilbon,Trochilidae
Chlorothraupis,Cardinalidae
Chondestes,Emberizidae
Chondrohierax,Accipitridae
Chordeiles,Caprimulgidae
Chrysococcyx,Cuculidae
Chrysocolaptes,Picidae
Chrysolampis,Trochilidae
Chrysolophus,Phasianidae
Chrysomma,Sylviidae
Chrysomus,Icteridae
Chrysothlypis,Thraupidae
Chrysuronia,Trochilidae
Chthonicola,Acanthizidae
Chunga,Cariamidae
Cichladusa,Muscicapidae
Cichlocolaptes,Furnariidae
Cichlopsis,Turdidae
Cicinnurus,Paradisaeidae
Ciconia,Ciconiidae
Cinclidium,Muscicapidae
Cinclocerthia,Mimidae
Cinclodes,Furnariidae
Cincloramphus,Locustellidae
Cinclosoma,Psophodidae
Cinclus,Cinclidae
Cinnycerthia,Troglodytidae
Cinnyricinclus,Sturnidae
Circaetus,Accipitridae
Circus,Accipitridae
Cissa,Corvidae
Cissopis,Thraupidae
Cisticola,Cisticolidae
Cistothorus,Troglodytidae
Cittura,Alcedinidae
Cladorhynchus,Recurvirostridae
Clamator,Cuculidae
Clangula,Anatidae
Claravis,Columbidae
Cleptornis,Zosteropidae
Clibanornis,Furnariidae
Climacteris,Climacteridae
Clypicterus,Icteridae
Clytoceyx,Alcedinidae
Clytoctantes,Thamnophilidae
Clytolaema,Trochilidae
Clytomyias,Maluridae
Clytorhynchus,Monarchidae
Clytospiza,Estrildidae
Cnemarchus,Tyrannidae
Cnemophilus,Cnemophilidae
Cnemoscopus,Thraupidae
Cnemotriccus,Tyrannidae
Cnipodectes,Tyrannidae
Coccothraustes,Fringillidae
Coccycolius,Sturnidae
Coccycua,Cuculidae
Coccyzus,Cuculidae
Cochlearius,Ardeidae
Cochoa,Turdidae
Coeligena,Trochilidae
Coenocorypha,Scolopacidae
Coereba,Coerebidae
Colaptes,Picidae
Colibri,Trochilidae
Colinus,Odontophoridae
Colius,Coliidae
Collocalia,Apodidae
Colluricincla,Pachycephalidae
Colonia,Tyrannidae
Colorhamphus,Tyrannidae
Columba,Columbidae
Columbina,Columbidae
Compsospiza,Thraupidae
Compsothraupis,Thraupidae
Conioptilon,Cotingidae
Conirostrum,Thraupidae
Conopias,Tyrannidae
Conopophaga,Conopophagidae
Conopophila,Meliphagidae
Conostoma,Sylviidae
Conothraupis,Thraupidae
Contopus,Tyrannidae
Copsychus,Muscicapidae
Coracias,Coraciidae
Coracina,Campephagidae
Coracopsis,Psittacidae
Coracornis,Pachycephalidae
Coragyps,Cathartidae
Corapipo,Pipridae
Corcorax,Corcoracidae
Cormobates,Climacteridae
Corvinella,Laniidae
Corvus,Corvidae
Corydon,Eurylaimidae
Coryphaspiza,Thraupidae
Coryphistera,Furnariidae
Coryphospingus,Thraupidae
Corythaeola,Musophagidae
Corythaixoides,Musophagidae
Corythopis,Tyrannidae
Coscoroba,Anatidae
Cosmopsarus,Sturnidae
Cossypha,Muscicapidae
Cossyphicula,Muscicapidae
Cotinga,Cotingidae
Coturnicops,Rallidae
Coturnix,Phasianidae
Coua,Cuculidae
Cracticus,Cracticidae
Cranioleuca,Furnariidae
Crateroscelis,Acanthizidae
Crax,Cracidae
Creagrus,Laridae
Creatophora,Sturnidae
Crecopsis,Rallidae
Creurgops,Thraupidae
Crex,Rallidae
Crinifer,Musophagidae
Criniger,Pycnonotidae
Crocias,Leiothrichidae
Crossleyia,Bernieridae
Crossoptilon,Phasianidae
Crotophaga,Cuculidae
Crypsirina,Corvidae
Cryptophaps,Columbidae
Cryptospiza,Estrildidae
Cryptosylvicola,Bernieridae
Crypturellus,Tinamidae
Cuculus,Cuculidae
Culicicapa,Stenostiridae
Culicivora,Tyrannidae
Curaeus,Icteridae
Cursorius,Glareolidae
Cutia,Leiothrichidae
Cyanerpes,Thraupidae
Cyanicterus,Thraupidae
Cyanochen,Anatidae
Cyanocitta,Corvidae
Cyanocompsa,Cardinalidae
Cyanocorax,Corvidae
Cyanolanius,Vangidae
Cyanolimnas,Rallidae
Cyanoliseus,Psittacidae
Cyanoloxia,Cardinalidae
Cyanolyca,Corvidae
Cyanophaia,Trochilidae
Cyanopica,Corvidae
Cyanopsitta,Psittacidae
Cyanoptila,Muscicapidae
Cyanoramphus,Psittacidae
Cyclarhis,Vireonidae
Cyclopsitta,Psittacidae
Cygnus,Anatidae
Cymbilaimus,Thamnophilidae
Cymbirhynchus,Eurylaimidae
Cynanthus,Trochilidae
Cyornis,Muscicapidae
Cyphorhinus,Troglodytidae
Cypseloides,Apodidae
Cypsiurus,Apodidae
Cypsnagra,Thraupidae
Cyrtonyx,Odontophoridae
Dacelo,Alcedinidae
Dacnis,Thraupidae
Dactylortyx,Odontophoridae
Damophila,Trochilidae
Daphoenositta,Neosittidae
Daption,Procellariidae
Daptrius,Falconidae
Dasycrotapha,Zosteropidae
Dasyornis,Dasyornithidae
Deconychura,Furnariidae
Delichon,Hirundinidae
Delothraupis,Thraupidae
Deltarhynchus,Tyrannidae
Dendragapus,Phasianidae
Dendrexetastes,Furnariidae
Dendrocincla,Furnariidae
Dendrocitta,Corvidae
Dendrocolaptes,Furnariidae
Dendrocopos,Picidae
Dendrocygna,Anatidae
Dendroica,Parulidae
Dendronanthus,Motacillidae
Dendropicos,Picidae
Dendroplex,Furnariidae
Dendrortyx,Odontophoridae
Deroptyus,Psittacidae
Dicaeum,Dicaeidae
Dichrozona,Thamnophilidae
Dicrurus,Dicruridae
Didunculus,Columbidae
Diglossa,Thraupidae
Dinemellia,Ploceidae
Dinopium,Picidae
Diomedea,Diomedeidae
Diopsittaca,Psittacidae
Dioptrornis,Muscicapidae
Discosura,Trochilidae
Diuca,Thraupidae
Dives,Icteridae
Dolichonyx,Icteridae
Doliornis,Cotingidae
Dolospingus,Thraupidae
Donacobius,Donacobiidae
Donacospiza,Thraupidae
Doricha,Trochilidae
Doryfera,Trochilidae
Drepanoptila,Columbidae
Dromaeocercus,Locustellidae
Dromaius,Dromaiidae
Dromas,Dromadidae
Dromococcyx,Cuculidae
Drymocichla,Cisticolidae
Drymodes,Petroicidae
Drymophila,Thamnophilidae
Drymornis,Furnariidae
Dryocopus,Picidae
Dryolimnas,Rallidae
Dryoscopus,Malaconotidae
Dryotriorchis,Accipitridae
Dubusia,Thraupidae
Ducula,Columbidae
Dulus,Dulidae
Dumetella,Mimidae
Dumetia,Timaliidae
Dysithamnus,Thamnophilidae
Eclectus,Psittacidae
Egretta,Ardeidae
Elaenia,Tyrannidae
Elanoides,Accipitridae
Elanus,Accipitridae
Electron,Momotidae
Eleoscytalopus,Rhinocryptidae
Eleothreptus,Caprimulgidae
Elminia,Stenostiridae
Elseyornis,Charadriidae
Elvira,Trochilidae
Emberiza,Emberizidae
Emberizoides,Thraupidae
Embernagra,Thraupidae
Emblema,Estrildidae
Eminia,Cisticolidae
Empidonax,Tyrannidae
Empidonomus,Tyrannidae
Empidornis,Muscicapidae
Enicognathus,Psittacidae
Enicurus,Muscicapidae
Enodes,Sturnidae
Ensifera,Trochilidae
Entomodestes,Turdidae
Entomyzon,Meliphagidae
Eophona,Fringillidae
Eopsaltria,Petroicidae
Eos,Psittacidae
Ephippiorhynchus,Ciconiidae
Epimachus,Paradisaeidae
Epinecrophylla,Thamnophilidae
Epthianura,Meliphagidae
Eremalauda,Alaudidae
Eremiornis,Locustellidae
Eremomela,Cisticolidae
Eremophila,Alaudidae
Eremopsaltria,Fringillidae
Eremopterix,Alaudidae
Ergaticus,Parulidae
Eriocnemis,Trochilidae
Erithacus,Muscicapidae
Erpornis,Vireonidae
Erythrocercus,Erythrocercidae
Erythrogonys,Charadriidae
Erythropygia,Muscicapidae
Erythrotriorchis,Accipitridae
Erythrura,Estrildidae
Esacus,Burhinidae
Estrilda,Estrildidae
Eubucco,Capitonidae
Eucometis,Thraupidae
Eudocimus,Threskiornithidae
Eudromia,Tinamidae
Eudromias,Charadriidae
Eudynamys,Cuculidae
Eudyptes,Spheniscidae
Eudyptula,Spheniscidae
Eugenes,Trochilidae
Eugerygone,Petroicidae
Eugralla,Rhinocryptidae
Eulabeornis,Rallidae
Eulacestoma,Neosittidae
Eulampis,Trochilidae
Eulidia,Trochilidae
Eulipoa,Megapodiidae
Eumomota,Momotidae
Eumyias,Muscicapidae
Euneornis,Thraupidae
Eunymphicus,Psittacidae
Eupetes,Eupetidae
Eupetomena,Trochilidae
Euphagus,Icteridae
Eupherusa,Trochilidae
Euphonia,Fringillidae
Euplectes,Ploceidae
Eupodotis,Otididae
Euptilotis,Trogonidae
Eurocephalus,Laniidae
Eurochelidon,Hirundinidae
Eurostopodus,Caprimulgidae
Euryceros,Vangidae
Eurylaimus,Eurylaimidae
Eurynorhynchus,Scolopacidae
Euryptila,Cisticolidae
Eurypyga,Eurypygidae
Eurystomus,Coraciidae
Euscarthmus,Tyrannidae
Euschistospiza,Estrildidae
Euthlypis,Parulidae
Eutoxeres,Trochilidae
Eutrichomyias,Monarchidae
Eutriorchis,Accipitridae
Falco,Falconidae
Falculea,Vangidae
Falcunculus,Pachycephalidae
Ferminia,Troglodytidae
Ficedula,Muscicapidae
Florisuga,Trochilidae
Fluvicola,Tyrannidae
Formicarius,Formicariidae
Formicivora,Thamnophilidae
Forpus,Psittacidae
Foudia,Ploceidae
Foulehaio,Meliphagidae
Francolinus,Phasianidae
Fraseria,Muscicapidae
Fratercula,Alcidae
Frederickena,Thamnophilidae
Fregata,Fregatidae
Fregetta,Hydrobatidae
Fringilla,Fringillidae
Fulica,Rallidae
Fulmarus,Procellariidae
Furnarius,Furnariidae
Galbalcyrhynchus,Galbulidae
Galbula,Galbulidae
Galerida,Alaudidae
Gallicolumba,Columbidae
Gallicrex,Rallidae
Gallinago,Scolopacidae
Gallinula,Rallidae
Gallirallus,Rallidae
Galloperdix,Phasianidae
Gallus,Phasianidae
Gampsonyx,Accipitridae
Gampsorhynchus,Pellorneidae
Garrodia,Hydrobatidae
Garrulax,Leiothrichidae
Garrulus,Corvidae
Gavia,Gaviidae
Gecinulus,Picidae
Geococcyx,Cuculidae
Geocolaptes,Picidae
Geoffroyus,Psittacidae
Geomalia,Turdidae
Geopelia,Columbidae
Geophaps,Columbidae
Geositta,Furnariidae
Geospiza,Thraupidae
Geothlypis,Parulidae
Geotrygon,Columbidae
Geranoaetus,Accipitridae
Geranospiza,Accipitridae
Geronticus,Threskiornithidae
Gerygone,Acanthizidae
Glareola,Glareolidae
Glaucidium,Strigidae
Glaucis,Trochilidae
Glossopsitta,Psittacidae
Glycichaera,Meliphagidae
Glyphorynchus,Furnariidae
Gnorimopsar,Icteridae
Goethalsia,Trochilidae
Goldmania,Trochilidae
Gorsachius,Ardeidae
Goura,Columbidae
Gracula,Sturnidae
Grafisia,Sturnidae
Grallaria,Grallariidae
Grallaricula,Grallariidae
Grallina,Monarchidae
Graminicola,Pellorneidae
Granatellus,Cardinalidae
Grandala,Muscicapidae
Grantiella,Meliphagidae
Graueria,Cettiidae
Graydidascalus,Psittacidae
Grus,Gruidae
Guadalcanaria,Meliphagidae
Guaruba,Psittacidae
Gubernatrix,Emberizidae
Gubernetes,Tyrannidae
Guira,Cuculidae
Guttera,Numididae
Gyalophylax,Furnariidae
Gygis,Laridae
Gymnobucco,Lybiidae
Gymnocichla,Thamnophilidae
Gymnocrex,Rallidae
Gymnoderus,Cotingidae
Gymnoglaux,Strigidae
Gymnogyps,Cathartidae
Gymnomystax,Icteridae
Gymnomyza,Meliphagidae
Gymnophaps,Columbidae
Gymnopithys,Thamnophilidae
Gymnorhina,Cracticidae
Gymnorhinus,Corvidae
Gypaetus,Accipitridae
Gypohierax,Accipitridae
Gyps,Accipitridae
Gypsophila,Pellorneidae
Habia,Cardinalidae
Habroptila,Rallidae
Haematoderus,Cotingidae
Haematopus,Haematopodidae
Haematortyx,Phasianidae
Haematospiza,Fringillidae
Halcyon,Alcedinidae
Haliaeetus,Accipitridae
Haliastur,Accipitridae
Halobaena,Procellariidae
Halocyptena,Hydrobatidae
Hamirostra,Accipitridae
Hapalopsittaca,Psittacidae
Hapaloptila,Bucconidae
Haplochelidon,Hirundinidae
Haplophaedia,Trochilidae
Haplospiza,Thraupidae
Harpactes,Trogonidae
Harpagus,Accipitridae
Harpia,Accipitridae
Harpyhaliaetus,Accipitridae
Harpyopsis,Accipitridae
Heinrichia,Muscicapidae
Heleia,Zosteropidae
Heliactin,Trochilidae
Heliangelus,Trochilidae
Helicolestes,Accipitridae
Heliobletus,Furnariidae
Heliodoxa,Trochilidae
Heliolais,Cisticolidae
Heliomaster,Trochilidae
Heliopais,Heliornithidae
Heliornis,Heliornithidae
Heliothryx,Trochilidae
Hellmayrea,Furnariidae
Helmitheros,Parulidae
Hemicircus,Picidae
Hemignathus,Fringillidae
Hemiphaga,Columbidae
Hemiprocne,Hemiprocnidae
Hemipus,Tephrodornithidae
Hemispingus,Thraupidae
Hemitesia,Cettiidae
Hemithraupis,Thraupidae
Hemitriccus,Tyrannidae
Hemixos,Pycnonotidae
Henicopernis,Accipitridae
Henicophaps,Columbidae
Henicorhina,Troglodytidae
Herpetotheres,Falconidae
Herpsilochmus,Thamnophilidae
Heterocercus,Pipridae
Heteroglaux,Strigidae
Heteromirafra,Alaudidae
Heteromunia,Estrildidae
Heteromyias,Petroicidae
Heteronetta,Anatidae
Heterophasia,Leiothrichidae
Heteroscelus,Scolopacidae
Heterospingus,Thraupidae
Hieraaetus,Accipitridae
Himantopus,Recurvirostridae
Himantornis,Rallidae
Himatione,Fringillidae
Hippolais,Acrocephalidae
Hirundapus,Apodidae
Hirundinea,Tyrannidae
Hirundo,Hirundinidae
Histrionicus,Anatidae
Histurgops,Passeridae
Hodgsonius,Muscicapidae
Horizorhinus,Sylviidae
Houbaropsis,Otididae
Humblotia,Muscicapidae
Hydrobates,Hydrobatidae
Hydrochous,Apodidae
Hydrophasianus,Jacanidae
Hydropsalis,Caprimulgidae
Hylacola,Acanthizidae
Hylexetastes,Furnariidae
Hylia,Cettiidae
Hyliota,Hyliotidae
Hylocharis,Trochilidae
Hylocichla,Turdidae
Hylocitrea,Hylocitreidae
Hylocryptus,Furnariidae
Hyloctistes,Furnariidae
Hylomanes,Momotidae
Hylonympha,Trochilidae
Hylopezus,Grallariidae
Hylophilus,Vireonidae
Hylophylax,Thamnophilidae
Hylorchilus,Troglodytidae
Hymenolaimus,Anatidae
Hymenops,Tyrannidae
Hypargos,Estrildidae
Hypergerus,Cisticolidae
Hypnelus,Bucconidae
Hypocnemis,Thamnophilidae
Hypocnemoides,Thamnophilidae
Hypocolius,Hypocoliidae
Hypocryptadius,Passeridae
Hypoedaleus,Thamnophilidae
Hypogramma,Nectariniidae
Hypopyrrhus,Icteridae
Hypositta,Vangidae
Hypothymis,Monarchidae
Hypsipetes,Pycnonotidae
Ibidorhyncha,Ibidorhynchidae
Ibycter,Falconidae
Ichthyophaga,Accipitridae
Icteria,Parulidae
Icterus,Icteridae
Ictinaetus,Accipitridae
Ictinia,Accipitridae
Idiopsar,Thraupidae
Ifrita,Monarchidae
Ilicura,Pipridae
Illadopsis,Pellorneidae
Incana,Cisticolidae
Incaspiza,Thraupidae
Indicator,Indicatoridae
Inezia,Tyrannidae
Iodopleura,Cotingidae
Iole,Pycnonotidae
Irania,Muscicapidae
Irediparra,Jacanidae
Irena,Irenidae
Iridophanes,Thraupidae
Iridosornis,Thraupidae
Ithaginis,Phasianidae
Ixobrychus,Ardeidae
Ixonotus,Pycnonotidae
Ixos,Pycnonotidae
Jabiru,Ciconiidae
Jabouilleia,Pellorneidae
Jacamaralcyon,Galbulidae
Jacamerops,Galbulidae
Jacana,Jacanidae
Jubula,Strigidae
Junco,Emberizidae
Jynx,Picidae
Kakamega,Arcanatoridae
Kaupifalco,Accipitridae
Kenopia,Pellorneidae
Ketupa,Strigidae
Klais,Trochilidae
Knipolegus,Tyrannidae
Kupeornis,Leiothrichidae
Lacedo,Alcedinidae
Lafresnaya,Trochilidae
Lagonosticta,Estrildidae
Lagopus,Phasianidae
Lalage,Campephagidae
Lampornis,Trochilidae
Lamprolaima,Trochilidae
Lamprolia,Rhipiduridae
Lampropsar,Icteridae
Lamprospiza,Thraupidae
Lamprotornis,Sturnidae
Laniarius,Malaconotidae
Laniisoma,Cotingidae
Lanio,Thraupidae
Laniocera,Cotingidae
Lanioturdus,Platysteiridae
Lanius,Laniidae
Larosterna,Laridae
Larus,Laridae
Laterallus,Rallidae
Lathamus,Psittacidae
Lathrotriccus,Tyrannidae
Latoucheornis,Emberizidae
Legatus,Tyrannidae
Leiothrix,Leiothrichidae
Leipoa,Megapodiidae
Leonardina,Muscicapidae
Lepidocolaptes,Furnariidae
Lepidopyga,Trochilidae
Lepidothrix,Pipridae
Leptasthenura,Furnariidae
Leptodon,Accipitridae
Leptopoecile,Aegithalidae
Leptopogon,Tyrannidae
Leptopterus,Vangidae
Leptoptilos,Ciconiidae
Leptosittaca,Psittacidae
Leptosomus,Leptosomidae
Leptotila,Columbidae
Lerwa,Phasianidae
Lesbia,Trochilidae
Lessonia,Tyrannidae
Leucippus,Trochilidae
Leucochloris,Trochilidae
Leucopeza,Parulidae
Leucophaeus,Laridae
Leucopsar,Sturnidae
Leucopternis,Accipitridae
Leucosarcia,Columbidae
Leucosticte,Fringillidae
Lewinia,Rallidae
Lichenostomus,Meliphagidae
Lichmera,Meliphagidae
Limicola,Scolopacidae
Limnoctites,Furnariidae
Limnodromus,Scolopacidae
Limnornis,Furnariidae
Limnothlypis,Parulidae
Limosa,Scolopacidae
Linurgus,Fringillidae
